project,bug_ID,priority,type(person1),type(person2),type(final decision),PR,Explanation
Lucene,LUCENE-4675,Major,T2.1.2,T2.1.2,T2.1.2,https://issues.apache.org/jira/secure/attachment/12564151/LUCENE-4674.patch,No implementation in BytesRefa.cs
Lucene,LUCENE-4649,Major,T2.3.3,T2.3.3,T2.3.3,https://issues.apache.org/jira/secure/attachment/12562911/LUCENE-4649_broken.patch,Reverted PR.
Lucene,LUCENE-4638,Major,T2.3.3,T2.3.3,T2.3.3,https://issues.apache.org/jira/secure/attachment/12562165/LUCENE-4638.patch,Reverted PR. Java try using the IW's writeLock to unlock
Lucene,LUCENE-4593,Major,T1.1.2,T1.1.2,T1.1.2,https://svn.apache.org/viewvc/lucene/dev/branches/branch_4x/lucene/core/src/java/org/apache/lucene/util/fst/FST.java?r1=1430480&r2=1430479&pathrev=1430480,Java and C# all move allowArrayArcs to ctor.
Lucene,LUCENE-4574,Major,T2.2.3,T2.2.3,T2.2.3,https://issues.apache.org/jira/secure/attachment/12555508/LUCENE-4574.patch,Solr specific. Third-Lib
Lucene,LUCENE-4557,Major,T2.1.3,T2.1.3,T2.1.3,,"No module ""lucene41"" in Java"
Lucene,LUCENE-4539,Major,T2.1.3,T2.1.3,T2.1.3,https://issues.apache.org/jira/secure/attachment/12552171/LUCENE-4539.patch,"No module ""lucene40"" in Java"
Lucene,LUCENE-4170,Major,T2.1.2,T2.1.2,T2.1.2,https://issues.apache.org/jira/secure/attachment/12533659/LUCENE-4170.patch,No implementation in CommonGramsFilter.cs
Lucene,LUCENE-4123,Major,T2.3.2,T2.3.2,T2.3.2,https://issues.apache.org/jira/secure/attachment/12543910/LUCENE-4123.patch,"java has no SimpleFSDirectory.cs, C# has. migration bug"
Lucene,LUCENE-4073,Major,T2.2.1,T2.2.1,T2.2.1,https://github.com/apache/lucene/issues/6656,Build bugs in Java
Lucene,LUCENE-3990,Major,T2.1.2,T2.1.2,T2.1.2,https://issues.apache.org/jira/secure/attachment/12522734/LUCENE-3990.patch,No implementation in TestRandomChains.cs
Lucene,LUCENE-3821,Major,T1.1.2,T1.1.2,T1.1.2,https://issues.apache.org/jira/secure/attachment/12517112/LUCENE-3821.patch,Similar implementation in Lucene and Lucene Net
Lucene,LUCENE-3380,Major,T1.1.2,T1.1.2,T1.1.2,https://issues.apache.org/jira/secure/attachment/12490816/LUCENE-3380.patch,Similar implementation in Lucene and Lucene Net
Lucene,LUCENE-3373,Major,T2.2.2,T2.2.2,T2.2.2,https://github.com/apache/lucene/commit/1884a8730a3,Java avoid using too many sync
Lucene,LUCENE-3317,Major,T2.2.1,T2.2.1,T2.2.1,https://github.com/apache/lucene/pull/12856,Build tools bug in Java
Lucene,LUCENE-3314,Major,T2.1.1,T2.1.1,T2.1.1,https://svn.apache.org/viewvc?view=revision&revision=r1201393,C# has no TestNumericRangeQuery32.cs
Lucene,LUCENE-3036,Major,T2.2.2,T2.2.2,T2.2.2,https://issues.apache.org/jira/secure/attachment/12476753/LUCENE-3036.patch,LUCENENET: Use NanoTime() rather than CurrentTimeMilliseconds() for more accurate/reliable results
Lucene,LUCENE-2987,Major,T2.1.1,T2.1.1,T2.1.1,https://issues.apache.org/jira/secure/attachment/12510156/LUCENE-2987.patch,C# has no QueryParser.jjs
Lucene,LUCENE-2905,Major,T2.3.3,T2.3.3,T2.3.3,https://svn.apache.org/viewvc?view=revision&revision=r1070580,Reverted PR
Lucene,LUCENE-2861,Major,T2.1.3,T2.1.3,T2.1.3,https://github.com/apache/lucene-solr/commit/67677d9#diff-ba8be047448a7ad6110b2470247d0cbf751f059ee9c3f9eff8a897152ae6dcbaR47,"No module ""intervals"" in C#"
Lucene,LUCENE-2806,Major,T2.3.1,T2.3.1,T2.3.1,,"Hard to rerpoduce in Java, since old version."
Lucene,LUCENE-2557,Major,T2.3.1,T2.3.1,T2.3.1,,Hard to reproduce in C#
